Name,AccountNumber,Site,Type,Industry,AnnualRevenue,Rating,Phone,Fax,Website,TickerSymbol,Ownership,NumberOfEmployees
Account_1558_Z,86540330,Site_Q493,Partner,Retail,3240884.0,Cold,+1-0787344117,+1-2144595011,https://www.pzntxuxr.com,QAL,Subsidiary,838.0
Account_2354_V,57941769,Site_V174,Customer,Healthcare,537826.0,Cold,+1-6126872861,+1-7323904875,https://www.cfmkyxme.com,AES,Private,927.0
Account_7961_W,41693670,Site_D338,Partner,Healthcare,294357.0,Warm,+1-1076263190,+1-6486839174,https://www.scgyabxs.com,DGB,Private,381.0
Account_5661_T,65595029,Site_S940,Prospect,Finance,5766211.0,Warm,+1-1226301343,+1-4341186351,https://www.tmlowbar.com,NST,Public,721.0
Account_8367_C,72816840,Site_J283,Partner,Healthcare,8065372.0,Cold,+1-3362703887,+1-4957156389,https://www.qbierdoj.com,WWD,Subsidiary,803.0
Account_2981_I,10137298,Site_N937,Prospect,Retail,1410068.0,Hot,+1-2591305338,+1-1836355966,https://www.psjbledw.com,AYH,Public,507.0
Account_7215_P,99238269,Site_J671,Customer,Retail,2526984.0,Cold,+1-0214904510,+1-8585065025,https://www.hjkeygcb.com,AIC,Private,76.0
Account_2554_Y,84859934,Site_P172,Prospect,Retail,1903029.0,Warm,+1-3534108580,+1-5044219589,https://www.zavvptvf.com,DGH,Public,491.0
Account_6919_D,83038427,Site_V591,Partner,Healthcare,3199128.0,Hot,+1-1706723426,+1-7327006437,https://www.cuchlkzf.com,FIZ,Private,1000.0
Account_9509_X,07942499,Site_C148,Prospect,Retail,974176.0,Warm,+1-4573464843,+1-5732640456,https://www.srcpcwnp.com,JHE,Private,703.0
Account_4724_V,91341255,Site_G104,Partner,Technology,3649551.0,Hot,+1-0655971291,+1-0612354119,https://www.eilqbyzh.com,PZK,Private,865.0
Account_3348_O,71003930,Site_B224,Customer,Finance,9007439.0,Cold,+1-6531319640,+1-6748580966,https://www.acvyhkqm.com,AFS,Public,205.0
Account_1242_B,68547894,Site_Z450,Partner,Healthcare,9664821.0,Warm,+1-0144948355,+1-3399373157,https://www.xubolygb.com,EJX,Private,53.0
Account_8990_M,2600664,Site_A496,Partner,Retail,2887576.0,Cold,+1-1590421417,+1-4215234122,https://www.ppgyuqxp.com,NHR,Public,122.0
Account_5047_Q,40789631,Site_F677,Customer,Healthcare,8675579.0,Hot,+1-9976403850,+1-9675335622,https://www.nfjtzsmv.com,KDL,Public,283.0
Account_7597_Q,49300617,Site_G852,Partner,Retail,1042765.0,Cold,+1-2808287862,+1-3889721148,https://www.inxdfjnk.com,GVL,Public,775.0
Account_5823_D,53305911,Site_K157,Prospect,Technology,961207.0,Cold,+1-2802628196,+1-7494120319,https://www.viflkbej.com,YHC,Private,763.0
Account_6152_F,89833027,Site_U731,Prospect,Technology,5264340.0,Warm,+1-2456823253,+1-8041172498,https://www.dhpjarvd.com,VTX,Private,154.0
Account_2158_Z,00872702,Site_I776,Customer,Technology,9230817.0,Cold,+1-3420916152,+1-5663879743,https://www.wmqkmgvm.com,NAN,Private,67.0
Account_4555_Y,38449586,Site_B475,Prospect,Retail,3781889.0,Warm,+1-6718856949,+1-5693935997,https://www.nvvwgrcj.com,PHH,Private,80.0
Account_8013_X,56617240,Site_D984,Customer,Retail,7458547.0,Warm,+1-4821665265,+1-3876403925,https://www.vpfbwmeh.com,ZYZ,Subsidiary,812.0
Account_9482_P,89460103,Site_M807,Prospect,Finance,9045664.0,Warm,+1-4490590149,+1-4711844037,https://www.gmzbywhy.com,YUT,Subsidiary,672.0
Account_7083_R,18382876,Site_G232,Customer,Finance,4241859.0,Hot,+1-7020984660,+1-3957869295,https://www.spxorsrn.com,JBT,Private,928.0
Account_7356_K,16702008,Site_O825,Partner,Healthcare,6505047.0,Cold,+1-0658833448,+1-9860561565,https://www.ztnunkzr.com,PRU,Subsidiary,105.0
Account_5492_P,50345577,Site_X300,Prospect,Technology,6277658.0,Warm,+1-0137570703,+1-4111436978,https://www.clwkysnz.com,EZU,Private,974.0
Account_6362_I,33960940,Site_I287,Partner,Technology,5708223.0,Cold,+1-2723637392,+1-5302789026,https://www.dasxnfig.com,GSS,Private,846.0
Account_5410_S,25243127,Site_W353,Prospect,Finance,9349419.0,Hot,+1-9340159601,+1-3267898388,https://www.wunfrxgv.com,RNH,Private,950.0
Account_5864_P,18036647,Site_G219,Customer,Retail,8502083.0,Warm,+1-9905148800,+1-1252810638,https://www.gybtlyxl.com,UNE,Public,70.0
Account_9512_A,65991345,Site_D288,Partner,Healthcare,8389840.0,Cold,+1-3261343977,+1-0572371706,https://www.xoynkbme.com,CSQ,Public,957.0
Account_1368_T,35539059,Site_W672,Customer,Retail,9719781.0,Warm,+1-6344193866,+1-4530780820,https://www.nwvwvrlq.com,QIW,Public,128.0
Account_9445_Z,23752963,Site_P798,Customer,Healthcare,9436943.0,Hot,+1-0788286940,+1-7012050991,https://www.znltjizp.com,ASQ,Private,480.0
Account_8486_M,22919689,Site_K443,Customer,Retail,3527008.0,Cold,+1-5607919832,+1-9690466389,https://www.dqtzdlya.com,QRL,Public,961.0
Account_5842_B,65253649,Site_Y112,Partner,Retail,2754487.0,Cold,+1-0190914368,+1-5919199640,https://www.tnhebpeg.com,VXW,Public,284.0
Account_5800_I,33126460,Site_W895,Customer,Retail,5128769.0,Cold,+1-9530865094,+1-8060132025,https://www.kobmqtej.com,BCS,Subsidiary,740.0
Account_8737_Y,23376412,Site_Y531,Prospect,Retail,463107.0,Warm,+1-6981106402,+1-9305959040,https://www.vtvkngth.com,HDY,Public,724.0
Account_8513_V,37482234,Site_V481,Customer,Retail,3444144.0,Warm,+1-7480201394,+1-1714277075,https://www.bdpnrvam.com,PKV,Private,370.0
Account_6664_Y,68534374,Site_T432,Partner,Finance,2694516.0,Cold,+1-4141134568,+1-3408638004,https://www.utpswvaf.com,OQR,Private,982.0
Account_6487_L,14435741,Site_T344,Prospect,Healthcare,7704162.0,Warm,+1-1246228642,+1-5974237969,https://www.rasberjd.com,TTQ,Public,350.0
Account_9185_K,32609482,Site_Z672,Partner,Technology,546857.0,Hot,+1-7563099714,+1-0905169140,https://www.rgejepnz.com,YXK,Private,499.0
Account_2682_N,55065260,Site_K719,Prospect,Finance,6413286.0,Hot,+1-6174454323,+1-6123765807,https://www.ubcspjax.com,XPQ,Private,417.0
Account_4294_Y,30901369,Site_O746,Prospect,Technology,5456051.0,Warm,+1-0783423195,+1-0530724782,https://www.snxbdfgs.com,IET,Public,943.0
Account_1218_W,92118053,Site_Q616,Partner,Technology,6402058.0,Cold,+1-4448228727,+1-6631101157,https://www.nnbftenv.com,YZI,Subsidiary,966.0
Account_7069_X,02170743,Site_K572,Prospect,Healthcare,4631611.0,Warm,+1-8139757345,+1-4143689221,https://www.uwbxkvkq.com,MLA,Private,664.0
Account_8371_T,44381586,Site_Q101,Customer,Retail,7809312.0,Cold,+1-3491642250,+1-8971091203,https://www.ietfkqhc.com,XRZ,Private,165.0
Account_3025_Q,35763954,Site_A241,Partner,Finance,138659.0,Warm,+1-7355646468,+1-6667604761,https://www.ijfqytgh.com,KDL,Subsidiary,142.0
Account_1229_E,85344394,Site_B816,Partner,Technology,1735260.0,Cold,+1-6077966380,+1-9549623863,https://www.gncdrpxs.com,BZY,Private,783.0
Account_9454_A,60638641,Site_S207,Customer,Retail,3219201.0,Cold,+1-2586057947,+1-5900698911,https://www.itgxttzc.com,LPW,Private,958.0
Account_7416_D,85739164,Site_N158,Prospect,Retail,5415818.0,Cold,+1-1842385012,+1-0580033304,https://www.oekbzgfe.com,CWO,Private,803.0
Account_5078_C,15093487,Site_H317,Prospect,Technology,141972.0,Hot,+1-9818594247,+1-1892978002,https://www.dspssswi.com,CIB,Private,800.0
Account_1570_B,80935543,Site_S701,Partner,Technology,8427942.0,Hot,+1-3494822343,+1-8479570673,https://www.bynqimml.com,ZQJ,Private,30.0
Account_5739_J,58123909,Site_G763,Customer,Technology,2929932.0,Hot,+1-1414468213,+1-8100505221,https://www.szqkrren.com,OHI,Private,41.0
Account_5153_M,89593426,Site_T784,Partner,Technology,6180530.0,Warm,+1-6580789400,+1-0228736640,https://www.uqsripbf.com,ROG,Subsidiary,551.0
Account_5542_D,81624410,Site_O136,Customer,Healthcare,8475514.0,Cold,+1-3996762512,+1-5176371270,https://www.ltdwokgv.com,SDT,Private,256.0
Account_8555_S,81367657,Site_P529,Prospect,Retail,9054383.0,Hot,+1-3233676417,+1-3534262838,https://www.joewppbu.com,VXC,Public,278.0
Account_2596_I,79233817,Site_U798,Partner,Finance,559621.0,Warm,+1-0538041015,+1-7813347193,https://www.sruulavp.com,DRQ,Public,865.0
Account_2204_J,41164442,Site_Y420,Partner,Finance,9096649.0,Warm,+1-4537642023,+1-8683726852,https://www.afpjwiog.com,CWT,Public,961.0
Account_9917_R,75909222,Site_G808,Prospect,Healthcare,513207.0,Cold,+1-6407792008,+1-9884763929,https://www.jcsfjjay.com,NUT,Public,61.0
Account_9924_V,31923627,Site_K830,Prospect,Technology,3531592.0,Warm,+1-0262042714,+1-0931854785,https://www.rwvgovrh.com,MCF,Private,328.0
Account_4821_W,54113455,Site_D924,Customer,Technology,7608667.0,Hot,+1-0478419989,+1-6736951349,https://www.yebkjpbd.com,XDG,Private,136.0
Account_2487_H,99526636,Site_P351,Customer,Retail,3112810.0,Warm,+1-1525813342,+1-6306886891,https://www.xufgdxfr.com,MRN,Subsidiary,190.0
Account_7728_P,60706177,Site_L926,Partner,Healthcare,9852151.0,Warm,+1-2233078272,+1-5287206105,https://www.coqcpkbh.com,IHM,Subsidiary,251.0
Account_8921_N,64358401,Site_P382,Partner,Finance,6827928.0,Cold,+1-0020604424,+1-1887047691,https://www.cvxuooak.com,BTN,Private,195.0
Account_4265_E,2389268,Site_L386,Prospect,Finance,2169413.0,Warm,+1-6459003799,+1-4813503198,https://www.plbteupf.com,FXU,Private,795.0
Account_2875_D,12514595,Site_W624,Prospect,Technology,672157.0,Cold,+1-4682950402,+1-7348726722,https://www.niqjpbmo.com,DXZ,Private,701.0
Account_3941_N,39705492,Site_H722,Prospect,Retail,7821122.0,Hot,+1-3709116217,+1-8749423072,https://www.yxqmwkcv.com,QXE,Public,65.0
Account_8778_M,52874527,Site_A787,Partner,Healthcare,843855.0,Cold,+1-8893773088,+1-7004512525,https://www.tsetfsau.com,SIS,Public,394.0
Account_8529_J,11158053,Site_E887,Customer,Retail,4920518.0,Warm,+1-3466165199,+1-6619907396,https://www.hyxoakyb.com,JMR,Subsidiary,154.0
Account_1412_Z,86727837,Site_U561,Partner,Technology,2360912.0,Warm,+1-2440314119,+1-2894224734,https://www.sflfkmcm.com,VXE,Subsidiary,931.0
Account_2444_U,73418686,Site_P836,Customer,Technology,9271362.0,Hot,+1-7170499618,+1-4956439208,https://www.vhikshvw.com,UCD,Public,628.0
Account_2131_T,65853319,Site_Z674,Prospect,Technology,8507607.0,Warm,+1-2862313072,+1-1095346334,https://www.mkqaaezd.com,IVG,Subsidiary,504.0
Account_4101_L,09861183,Site_Q459,Prospect,Technology,5906025.0,Hot,+1-3517255075,+1-1034542842,https://www.gtlcocda.com,FAD,Private,629.0
Account_8583_O,61712255,Site_X862,Prospect,Healthcare,5808358.0,Cold,+1-0386327082,+1-8335900648,https://www.zsnphyov.com,AYU,Public,571.0
Account_3917_C,95395175,Site_R456,Customer,Healthcare,6340885.0,Hot,+1-7445776239,+1-7015364936,https://www.sramlasz.com,YTU,Private,988.0
Account_9683_L,32999383,Site_G382,Customer,Finance,766837.0,Cold,+1-0100847625,+1-9539348717,https://www.wemjnplk.com,JYK,Private,486.0
Account_9334_A,3302593,Site_Z391,Prospect,Retail,830847.0,Cold,+1-7521614150,+1-0963549094,https://www.dsgajmib.com,MBK,Private,362.0
Account_8921_V,63306157,Site_A335,Prospect,Retail,9558938.0,Cold,+1-6393727213,+1-5140380800,https://www.rdbemztr.com,YFE,Subsidiary,819.0
Account_2675_T,24017999,Site_F791,Partner,Technology,7002222.0,Warm,+1-9070691109,+1-0173573852,https://www.rpormbeb.com,CBY,Private,208.0
Account_6708_D,49722014,Site_P970,Partner,Retail,7832054.0,Hot,+1-0891775666,+1-2590604901,https://www.odiplpch.com,RFV,Public,137.0
Express Logistics and Transport,CC947211,,Customer - Channel,Transportation,950000000.0,Cold,(503) 421-7800,(503) 421-7801,www.expressl&t.net,EXLT,Public,12300.0
University of Arizona,CD736025,,Customer - Direct,Education,,Warm,(520) 773-9050,(520) 773-9060,www.universityofarizona.com,,Other,39000.0
"United Oil & Gas, UK",CD355119-A,,Customer - Direct,Energy,,,+44 191 4956203,+44 191 4956620,http://www.uos.com,UOS,Public,24000.0
"United Oil & Gas, Singapore",CD355120-B,,Customer - Direct,Energy,,,(650) 450-8810,(650) 450-8820,http://www.uos.com,UOS,Public,3000.0
GenePoint,CC978213,,Customer - Channel,Biotechnology,30000000.0,Cold,(650) 867-3450,(650) 867-9895,www.genepoint.com,,Private,265.0
sForce,,,,,,,(415) 901-7000,(415) 901-7002,www.sforce.com,,,
Sample Account for Entitlements,,,,,,,,,,,,
Account_8157_S,57937678,Site_Q830,Customer,Finance,8926736.0,Cold,+1-2993639917,+1-1129279445,https://www.ocnxrtbn.com,KXU,Private,93.0
Account_4984_N,27660519,Site_J491,Customer,Finance,8586105.0,Warm,+1-0871472008,+1-3132709409,https://www.vpsnbdnt.com,THW,Public,47.0
Account_9907_X,32031271,Site_H374,Customer,Technology,4716935.0,Cold,+1-8115150266,+1-0305486903,https://www.zmltvdsx.com,HCG,Subsidiary,590.0
Account_3895_C,04142188,Site_B162,Partner,Finance,6002588.0,Warm,+1-3129868266,+1-0948091226,https://www.femwfrno.com,FQN,Subsidiary,558.0
Account_9429_N,71167496,Site_Y293,Partner,Retail,5443332.0,Cold,+1-5111418046,+1-0461088091,https://www.spdfxdtx.com,YYX,Subsidiary,820.0
Account_9765_F,57506160,Site_R673,Prospect,Technology,7680297.0,Warm,+1-4614303759,+1-9525622697,https://www.xegkdkss.com,AHV,Subsidiary,24.0
Account_5755_C,75084548,Site_R692,Prospect,Retail,6641644.0,Warm,+1-1985401995,+1-3928641029,https://www.zpnbuqry.com,BMU,Public,554.0
Account_5554_Q,00633143,Site_N486,Customer,Retail,4128960.0,Hot,+1-8456598928,+1-9652076967,https://www.cejtyrai.com,LNK,Subsidiary,910.0
Account_9045_I,94666071,Site_A245,Partner,Technology,2761922.0,Cold,+1-0652468474,+1-9772036383,https://www.duckvouy.com,DUB,Private,921.0
Account_2789_Y,21409551,Site_Q679,Prospect,Finance,2138761.0,Hot,+1-3423060481,+1-6093064720,https://www.uavdzvge.com,EBV,Private,832.0
Account_1843_O,50393343,Site_L361,Partner,Healthcare,3268748.0,Cold,+1-1406340996,+1-0694223257,https://www.vcsjycjc.com,DYA,Private,226.0
Account_1720_C,6630360,Site_A726,Partner,Finance,5241212.0,Warm,+1-7068593702,+1-3911217809,https://www.whfkheai.com,GGW,Subsidiary,310.0
Account_9104_O,40171839,Site_M703,Partner,Retail,2727897.0,Warm,+1-8384803969,+1-9610325120,https://www.afxbxohl.com,BXY,Public,242.0
Account_4672_B,87983477,Site_I690,Partner,Technology,8016180.0,Cold,+1-8538322304,+1-4741733411,https://www.zlmaiaox.com,XQO,Public,182.0
Account_7573_X,80385109,Site_M901,Partner,Technology,4999819.0,Warm,+1-6465888614,+1-1719135579,https://www.wulvjxnl.com,UIF,Private,70.0
Account_4531_B,04008690,Site_S570,Customer,Finance,8045932.0,Warm,+1-0785122096,+1-9126865091,https://www.lebqgrus.com,JZO,Private,141.0
Account_9678_G,62316319,Site_B668,Partner,Finance,535267.0,Hot,+1-3596916684,+1-5879351326,https://www.qlzyzdpx.com,UXG,Private,342.0
Account_6359_U,36225923,Site_A459,Customer,Retail,386321.0,Hot,+1-9192719981,+1-0942963034,https://www.rirqmzfd.com,INT,Subsidiary,327.0
Account_4339_W,44834475,Site_R131,Customer,Retail,5778781.0,Warm,+1-9642468970,+1-8173325899,https://www.yucrvhpx.com,SHM,Private,535.0
Account_9052_V,66877792,Site_H528,Prospect,Finance,8905695.0,Warm,+1-9567635112,+1-1254833412,https://www.rpggtrff.com,IJT,Private,204.0
Account_7933_F,79718591,Site_F804,Prospect,Retail,4503106.0,Cold,+1-7849901456,+1-2665497057,https://www.jfdviyld.com,FBH,Private,779.0
Account_9484_R,74230929,Site_Z847,Partner,Finance,1025576.0,Hot,+1-4086744448,+1-0819750248,https://www.iiqvnrlv.com,DTF,Subsidiary,103.0
Account_1112_V,75799021,Site_F999,Partner,Retail,8062987.0,Hot,+1-8338954421,+1-3787999939,https://www.pccnfwjq.com,QBT,Subsidiary,162.0
Account_5764_Z,38074771,Site_W543,Customer,Finance,4193972.0,Cold,+1-3726843770,+1-3023042940,https://www.pkdwktdp.com,KHZ,Subsidiary,605.0
Account_1921_L,98748860,Site_Z482,Prospect,Finance,6466247.0,Hot,+1-1368882947,+1-5217699755,https://www.tkvrfaia.com,FXI,Private,673.0
Account_8217_L,64296940,Site_F875,Customer,Technology,2756954.0,Hot,+1-9002311456,+1-9449616111,https://www.zmksfzou.com,XUX,Public,756.0
Account_4679_P,75774059,Site_N437,Prospect,Healthcare,9290384.0,Cold,+1-8236717966,+1-0240215387,https://www.nlzktcuf.com,IQW,Subsidiary,70.0
Account_6508_O,35422612,Site_Y841,Partner,Retail,7667542.0,Hot,+1-7649809138,+1-9517973063,https://www.rmutpyna.com,GJA,Private,846.0
Account_8219_I,18659430,Site_X174,Partner,Finance,2709185.0,Warm,+1-8460552586,+1-9322220259,https://www.cncapfwn.com,NKO,Public,275.0
Account_2252_H,71654213,Site_R172,Customer,Retail,4007667.0,Warm,+1-9735614268,+1-5928786807,https://www.cuxprvzr.com,ROT,Private,792.0
Account_9292_D,43546404,Site_L918,Prospect,Finance,4168494.0,Warm,+1-7915957863,+1-2570511989,https://www.vcelmppw.com,JXI,Private,386.0
Account_2545_X,4749668,Site_O144,Prospect,Technology,8922529.0,Hot,+1-9042444949,+1-8331454209,https://www.lxnuecwe.com,XRP,Public,473.0
Account_6059_K,36115378,Site_A647,Customer,Healthcare,4623142.0,Hot,+1-2955236228,+1-5375189412,https://www.hkquliiy.com,KXH,Public,45.0
Account_2016_G,17032291,Site_N425,Partner,Retail,8035922.0,Warm,+1-1463150141,+1-5602218404,https://www.ioyuvtqn.com,SWD,Public,492.0
Account_4873_S,77748532,Site_N800,Prospect,Healthcare,4914507.0,Warm,+1-5148314802,+1-7883594773,https://www.ccnlowxe.com,HSC,Subsidiary,133.0
Account_7256_Z,08248386,Site_N838,Customer,Retail,6715926.0,Warm,+1-9018721256,+1-4672940312,https://www.hlqaewhf.com,WOK,Private,25.0
Account_9125_K,22641197,Site_E456,Customer,Technology,2928478.0,Hot,+1-3649256833,+1-6250140950,https://www.gcywtxga.com,MSP,Subsidiary,520.0
Account_6800_B,88407285,Site_L664,Prospect,Technology,9854763.0,Warm,+1-8078754697,+1-7941420016,https://www.ubtwhtfd.com,WYV,Subsidiary,444.0
Account_1840_N,64019248,Site_B749,Prospect,Technology,957952.0,Warm,+1-8598586567,+1-1074291143,https://www.nakejlbt.com,FQP,Subsidiary,456.0
Account_3660_G,73496242,Site_W406,Prospect,Finance,4233728.0,Hot,+1-4869213727,+1-9978514918,https://www.omgrxlzv.com,PNH,Public,437.0
Account_9233_M,25996639,Site_M537,Prospect,Technology,9815239.0,Warm,+1-2529186932,+1-2524352159,https://www.wxqbvoue.com,XYM,Private,286.0
Account_3012_V,25552133,Site_O117,Prospect,Finance,9069544.0,Cold,+1-2173894399,+1-1264715636,https://www.ytamugee.com,ZLR,Private,813.0
Account_7344_N,40816086,Site_E434,Prospect,Healthcare,6318560.0,Warm,+1-2530846712,+1-9760706360,https://www.qqgkblno.com,JUL,Subsidiary,902.0
Account_3199_C,47369190,Site_P700,Customer,Finance,6991928.0,Warm,+1-5161118259,+1-4011545141,https://www.shgdxcve.com,WSR,Private,181.0
Account_7925_X,13243777,Site_U799,Partner,Healthcare,5613009.0,Hot,+1-9648022188,+1-7380282303,https://www.jevqdwjx.com,KTC,Public,296.0
Account_3373_O,87079549,Site_M379,Customer,Finance,4722388.0,Cold,+1-4187315420,+1-2296192703,https://www.czzbggye.com,TXH,Public,175.0
Account_2471_H,20050951,Site_U861,Prospect,Healthcare,7171037.0,Hot,+1-0049852499,+1-1581815530,https://www.xboflqzz.com,QNR,Subsidiary,608.0
