Name,AccountNumber,Site,Type,Industry,AnnualRevenue,Rating,Phone,Fax,Website,TickerSymbol,Ownership,NumberOfEmployees
Beta Inc_174,ACC174,Satellite,Prospect,Healthcare,4637992.0,Cold,+1-9484778561,+1-7343988713,www.betainc.com,BET,Public,454.0
Delta Group_168,ACC168,HQ,Partner,Energy,4081709.0,Cold,+1-3211581717,+1-9324327013,www.deltagroup.com,DEL,Other,362.0
Tech Group,ACC026,Main,Partner,Retail,2244013.0,Hot,+1-944-345-2076,+1-671-310-8106,www.techgroup.com,TEC,Subsidiary,292.0
Alpha Industries,ACC025,HQ,Partner,Retail,525349.0,Warm,+1-876-295-6331,+1-132-510-7743,www.alphaindustries.com,ALP,Public,487.0
TestAccount0,10000000,Site_A,Customer,Technology,500000.0,Warm,+1-800-555-1000,+1-800-555-2000,https://testaccount0.com,SYM0,Private,50.0
Elite Corp_100,ACC100,Main,Customer,Retail,7125541.0,Warm,+1-8421674339,+1-8363989424,www.elitecorp.com,ELI,Subsidiary,678.0
Alpha Ltd,ACC050,HQ,Partner,Technology,4724383.0,Hot,+1-515-321-6702,+1-796-671-8494,www.alphaltd.com,ALP,Private,415.0
TestAccount3,10000003,Site_D,Customer,Technology,2000000.0,Hot,+1-800-555-1003,+1-800-555-2003,https://testaccount3.com,SYM3,Public,65.0
Smart Systems_107,ACC107,Branch,Prospect,Education,4960273.0,Cold,+1-1216212178,+1-5389471060,www.smartsystems.com,SMA,Government,875.0
Delta Inc_161,ACC161,Main,Prospect,Energy,2960728.0,Cold,+1-9978556970,+1-6743054404,www.deltainc.com,DEL,Public,804.0
Prime Industries_007,ACC007,HQ,Other,Healthcare,6682058.0,Cold,+1-1781626580,+1-4664998165,www.primeindustries.com,PRI,Private,234.0
Tech Solutions_142,ACC142,Satellite,Partner,Construction,6289358.0,Cold,+1-4004197256,+1-6804713904,www.techsolutions.com,TEC,Government,906.0
Delta Dynamics_158,ACC158,Main,Other,Technology,753196.0,Hot,+1-4671283322,+1-1492108182,www.deltadynamics.com,DEL,Subsidiary,98.0
Tech Ltd_020,ACC020,Branch,Customer,Energy,2311822.0,Cold,+1-5838775718,+1-2082682015,www.techltd.com,TEC,Government,501.0
Elite Group_116,ACC116,Regional,Other,Retail,7736879.0,Hot,+1-9097343144,+1-5786539965,www.elitegroup.com,ELI,Public,364.0
Prime Ltd_135,ACC135,Main,Partner,Technology,1972621.0,Hot,+1-5359794433,+1-8932128393,www.primeltd.com,PRI,Other,933.0
TestAccount7,10000007,Site_H,Customer,Technology,4000000.0,Hot,+1-800-555-1007,+1-800-555-2007,https://testaccount7.com,SYM7,Public,85.0
Future Technologies_107,ACC107,Satellite,Customer,Media,7582661.0,Cold,+1-7056708708,+1-6896676261,www.futuretechnologies.com,FUT,Subsidiary,634.0
Smart Dynamics_195,ACC195,Regional,Prospect,Technology,3867525.0,Hot,+1-6275351418,+1-8524412388,www.smartdynamics.com,SMA,Government,159.0
Prime Ltd_170,ACC170,Branch,Competitor,Retail,3683940.0,Hot,+1-2134735942,+1-3772697973,www.primeltd.com,PRI,Other,771.0
Future Systems_166,ACC166,Branch,Prospect,Energy,640610.0,Hot,+1-9022005206,+1-8196694573,www.futuresystems.com,FUT,Subsidiary,535.0
Sample Account for Entitlements,,,,,,,,,,,,
Smart Industries_003,ACC003,Branch,Other,Retail,2176283.0,Warm,+1-1357799654,+1-4286475396,www.smartindustries.com,SMA,Public,531.0
Global Systems_014,ACC014,HQ,Other,Retail,5228815.0,Hot,+1-8069157904,+1-1071794037,www.globalsystems.com,GLO,Other,655.0
Alpha Dynamics_002,ACC002,Main,Other,Transportation,1081456.0,Cold,+1-1873206148,+1-3799563102,www.alphadynamics.com,ALP,Public,798.0
Global Industries,ACC011,Main,Prospect,Finance,3608947.0,Cold,+1-804-563-4832,+1-822-158-8167,www.globalindustries.com,GLO,Public,124.0
Omega Solutions_013,ACC013,HQ,Other,Transportation,3015580.0,Cold,+1-3392676427,+1-7945188749,www.omegasolutions.com,OME,Public,521.0
Smart Corp_104,ACC104,Satellite,Other,Media,5249396.0,Cold,+1-6294241262,+1-7209284898,www.smartcorp.com,SMA,Government,821.0
Beta Dynamics,ACC005,HQ,Prospect,Retail,3695199.0,Warm,+1-763-432-9758,+1-567-659-7294,www.betadynamics.com,BET,Private,230.0
Omega Solutions_016,ACC016,Branch,Competitor,Media,1661219.0,Cold,+1-6142835539,+1-2924748896,www.omegasolutions.com,OME,Government,466.0
TestAccount5,10000005,Site_F,Customer,Technology,3000000.0,Hot,+1-800-555-1005,+1-800-555-2005,https://testaccount5.com,SYM5,Public,75.0
Elite Corp_040,ACC040,Branch,Competitor,Education,2632126.0,Hot,+1-1893399993,+1-5296649329,www.elitecorp.com,ELI,Government,859.0
Gamma Ltd,ACC003,Branch,Customer,Finance,1500000.0,Cold,+1-3456789012,+1-3456789013,www.gamma.com,GAM,Public,150.0
Future International,ACC008,Main,Customer,Technology,1279365.0,Hot,+1-455-317-9957,+1-102-998-2048,www.futureinternational.com,FUT,Subsidiary,213.0
Global Industries,ACC011,Main,Prospect,Finance,3608947.0,Cold,+1-804-563-4832,+1-822-158-8167,www.globalindustries.com,GLO,Public,124.0
Alpha Technologies_024,ACC024,HQ,Partner,Finance,9538158.0,Cold,+1-1188642463,+1-6139326853,www.alphatechnologies.com,ALP,Other,738.0
Elite Dynamics_114,ACC114,Branch,Other,Energy,4144289.0,Hot,+1-4279092177,+1-4061805180,www.elitedynamics.com,ELI,Other,395.0
Delta Ltd_116,ACC116,Satellite,Competitor,Finance,6087542.0,Cold,+1-4951608517,+1-9528975260,www.deltaltd.com,DEL,Subsidiary,921.0
Smart Inc_084,ACC084,Branch,Customer,Media,3786436.0,Hot,+1-1257486286,+1-4662735291,www.smartinc.com,SMA,Public,283.0
Omega International_159,ACC159,Regional,Prospect,Media,7117413.0,Warm,+1-7707816385,+1-4599728091,www.omegainternational.com,OME,Public,769.0
Delta Solutions_166,ACC166,Branch,Other,Healthcare,8674203.0,Warm,+1-3775506355,+1-6538515086,www.deltasolutions.com,DEL,Other,400.0
Beta Inc,ACC002,HQ,Partner,Healthcare,2000000.0,Warm,+1-2345678901,+1-2345678902,www.beta.com,BTA,Private,200.0
Elite Inc_138,ACC138,Regional,Partner,Transportation,7833770.0,Cold,+1-8624176698,+1-5846858936,www.eliteinc.com,ELI,Private,270.0
Global Dynamics_141,ACC141,HQ,Partner,Education,2085348.0,Hot,+1-9957996816,+1-8137084096,www.globaldynamics.com,GLO,Subsidiary,798.0
Prime Technologies_174,ACC174,Main,Other,Transportation,5609042.0,Hot,+1-2206696737,+1-6421295332,www.primetechnologies.com,PRI,Private,376.0
Elite Technologies_124,ACC124,Main,Prospect,Manufacturing,4288209.0,Cold,+1-6245061429,+1-5429635037,www.elitetechnologies.com,ELI,Public,997.0
Alpha Solutions,ACC032,Branch,Customer,Technology,3375811.0,Hot,+1-433-362-7306,+1-118-432-3832,www.alphasolutions.com,ALP,Public,66.0
Tech Technologies,ACC003,Main,Customer,Healthcare,4344136.0,Cold,+1-627-768-7176,+1-819-269-5536,www.techtechnologies.com,TEC,Subsidiary,489.0
Prime Corp,ACC026,Branch,Prospect,Retail,4534334.0,Warm,+1-188-435-5155,+1-829-878-6905,www.primecorp.com,PRI,Subsidiary,70.0
Tech Technologies,ACC003,Main,Customer,Healthcare,4344136.0,Cold,+1-627-768-7176,+1-819-269-5536,www.techtechnologies.com,TEC,Subsidiary,489.0
Elite Ltd_043,ACC043,HQ,Competitor,Construction,4026121.0,Warm,+1-5477122972,+1-8155433168,www.eliteltd.com,ELI,Subsidiary,332.0
Prime Systems_085,ACC085,Main,Prospect,Finance,7896433.0,Warm,+1-1863244803,+1-2767394700,www.primesystems.com,PRI,Government,869.0
Beta Industries_113,ACC113,Branch,Customer,Transportation,7757952.0,Warm,+1-7365806648,+1-7088085833,www.betaindustries.com,BET,Private,656.0
Elite Corp,ACC026,Main,Partner,Retail,1652020.0,Hot,+1-835-926-2335,+1-478-987-6860,www.elitecorp.com,ELI,Subsidiary,371.0
Delta Corp_164,ACC164,Satellite,Partner,Education,2167180.0,Cold,+1-2352709007,+1-8893696138,www.deltacorp.com,DEL,Other,456.0
Edge Communications,CD451796,,Customer - Direct,Electronics,139000000.0,Hot,(512) 757-6000,(512) 757-9000,http://edgecomm.com,EDGE,Public,1000.0
Burlington Textiles Corp of America,CD656092,,Customer - Direct,Apparel,350000000.0,Warm,(336) 222-7000,(336) 222-8000,www.burlington.com,BTXT,Public,9000.0
Pyramid Construction Inc.,CC213425,,Customer - Channel,Construction,950000000.0,,(014) 427-4427,(014) 427-4428,www.pyramid.com,PYR,Public,2680.0
Dickenson plc,CC634267,,Customer - Channel,Consulting,50000000.0,,(785) 241-6200,(785) 241-6201,dickenson-consulting.com,,Private,120.0
Grand Hotels & Resorts Ltd,CD439877,,Customer - Direct,Hospitality,500000000.0,Warm,(312) 596-1000,(312) 596-1500,www.grandhotels.com,GHTL,Public,5600.0
United Oil & Gas Corp.,CD355118,,Customer - Direct,Energy,5600000000.0,Hot,(212) 842-5500,(212) 842-5501,http://www.uos.com,UOS,Public,145000.0
Express Logistics and Transport,CC947211,,Customer - Channel,Transportation,950000000.0,Cold,(503) 421-7800,(503) 421-7801,www.expressl&t.net,EXLT,Public,12300.0
University of Arizona,CD736025,,Customer - Direct,Education,,Warm,(520) 773-9050,(520) 773-9060,www.universityofarizona.com,,Other,39000.0
"United Oil & Gas, UK",CD355119-A,,Customer - Direct,Energy,,,+44 191 4956203,+44 191 4956620,http://www.uos.com,UOS,Public,24000.0
"United Oil & Gas, Singapore",CD355120-B,,Customer - Direct,Energy,,,(650) 450-8810,(650) 450-8820,http://www.uos.com,UOS,Public,3000.0
GenePoint,CC978213,,Customer - Channel,Biotechnology,30000000.0,Cold,(650) 867-3450,(650) 867-9895,www.genepoint.com,,Private,265.0
sForce,,,,,,,(415) 901-7000,(415) 901-7002,www.sforce.com,,,
Tech Ltd_052,ACC052,Branch,Other,Transportation,8314745.0,Cold,+1-7527933589,+1-7515715249,www.techltd.com,TEC,Public,948.0
Prime Industries,ACC024,Branch,Prospect,Retail,2115468.0,Cold,+1-513-635-3108,+1-965-707-5692,www.primeindustries.com,PRI,Public,186.0
Tech Group,ACC026,Main,Partner,Retail,2244013.0,Hot,+1-944-345-2076,+1-671-310-8106,www.techgroup.com,TEC,Subsidiary,292.0
Prime Ltd_103,ACC103,Main,Competitor,Media,1881102.0,Warm,+1-4717725874,+1-8814251962,www.primeltd.com,PRI,Other,284.0
Global Systems_144,ACC144,Main,Customer,Energy,8287098.0,Warm,+1-6341349679,+1-8479828378,www.globalsystems.com,GLO,Other,512.0
Elite Corp,ACC015,Main,Partner,Finance,3778708.0,Cold,+1-228-829-6146,+1-192-185-2963,www.elitecorp.com,ELI,Private,84.0
Delta Technologies_048,ACC048,Satellite,Prospect,Manufacturing,5569373.0,Hot,+1-8083827114,+1-2627772948,www.deltatechnologies.com,DEL,Other,72.0
Omega Systems_068,ACC068,Main,Other,Education,2091038.0,Hot,+1-7938067374,+1-9749594988,www.omegasystems.com,OME,Other,632.0
Omega Inc,ACC012,HQ,Customer,Healthcare,4843798.0,Warm,+1-194-150-7112,+1-242-824-9674,www.omegainc.com,OME,Public,458.0
Gamma Ltd,ACC003,Branch,Customer,Finance,1500000.0,Cold,+1-3456789012,+1-3456789013,www.gamma.com,GAM,Public,150.0
Future Solutions_178,ACC178,Satellite,Partner,Manufacturing,6798425.0,Cold,+1-2865349424,+1-7658229900,www.futuresolutions.com,FUT,Private,586.0
Tech Technologies_131,ACC131,Regional,Customer,Education,3743448.0,Warm,+1-1401117776,+1-1516033588,www.techtechnologies.com,TEC,Public,543.0
Elite Group_015,ACC015,Satellite,Partner,Construction,4942033.0,Hot,+1-4891724672,+1-3638645435,www.elitegroup.com,ELI,Public,614.0
Beta Corp_143,ACC143,Satellite,Competitor,Construction,981208.0,Hot,+1-3427869238,+1-1434237270,www.betacorp.com,BET,Government,664.0
Tech Technologies,ACC039,HQ,Customer,Healthcare,4609837.0,Cold,+1-286-841-6756,+1-374-181-5863,www.techtechnologies.com,TEC,Public,164.0
Future Ltd,ACC045,Branch,Prospect,Finance,3945264.0,Warm,+1-611-496-9338,+1-703-872-1035,www.futureltd.com,FUT,Public,421.0
Alpha Industries_125,ACC125,Satellite,Prospect,Healthcare,2511579.0,Warm,+1-8743458648,+1-8663891984,www.alphaindustries.com,ALP,Other,588.0
TestAccount9,10000009,Site_J,Customer,Technology,5000000.0,Hot,+1-800-555-1009,+1-800-555-2009,https://testaccount9.com,SYM9,Public,95.0
Alpha Corp_172,ACC172,Main,Customer,Energy,9420416.0,Warm,+1-7368436438,+1-9694244259,www.alphacorp.com,ALP,Private,632.0
Future Systems_003,ACC003,Satellite,Other,Finance,8134448.0,Hot,+1-2233925606,+1-6913459504,www.futuresystems.com,FUT,Subsidiary,53.0
Delta Ltd_156,ACC156,Satellite,Prospect,Media,5180522.0,Hot,+1-3607028290,+1-8294418149,www.deltaltd.com,DEL,Private,628.0
Delta International_148,ACC148,Satellite,Other,Manufacturing,6047727.0,Cold,+1-3648666308,+1-8108783313,www.deltainternational.com,DEL,Private,830.0
Tech Technologies,ACC031,Branch,Prospect,Healthcare,1104540.0,Cold,+1-746-308-8642,+1-296-766-5974,www.techtechnologies.com,TEC,Private,495.0
Delta Ltd_009,ACC009,Branch,Customer,Media,4817036.0,Warm,+1-1844368999,+1-1562507228,www.deltaltd.com,DEL,Private,884.0
Elite Dynamics_056,ACC056,HQ,Customer,Healthcare,1842675.0,Hot,+1-4445962547,+1-2716267378,www.elitedynamics.com,ELI,Government,880.0
Alpha Systems,ACC013,Branch,Customer,Manufacturing,4603772.0,Hot,+1-557-705-1894,+1-774-391-7360,www.alphasystems.com,ALP,Subsidiary,247.0
Global Systems,ACC017,Main,Partner,Finance,2147481.0,Warm,+1-630-491-1866,+1-895-440-8572,www.globalsystems.com,GLO,Public,462.0
TestAccount5,10000005,Site_F,Customer,Technology,3000000.0,Hot,+1-800-555-1005,+1-800-555-2005,https://testaccount5.com,SYM5,Public,75.0
Future Group,ACC046,HQ,Customer,Retail,2880366.0,Warm,+1-295-894-7728,+1-386-126-8920,www.futuregroup.com,FUT,Private,486.0
Elite Dynamics,ACC049,Main,Customer,Retail,2053486.0,Warm,+1-399-222-6266,+1-359-470-1699,www.elitedynamics.com,ELI,Subsidiary,376.0
Delta International,ACC049,Branch,Customer,Manufacturing,4937654.0,Warm,+1-210-654-4098,+1-602-796-7280,www.deltainternational.com,DEL,Public,191.0
TestAccount1,10000001,Site_B,Customer,Technology,1000000.0,Hot,+1-800-555-1001,+1-800-555-2001,https://testaccount1.com,SYM1,Public,55.0
Delta Dynamics,ACC050,HQ,Partner,Healthcare,1826589.0,Hot,+1-309-482-9539,+1-583-449-4273,www.deltadynamics.com,DEL,Public,219.0
Omega Technologies_105,ACC105,Branch,Other,Healthcare,2555971.0,Cold,+1-4896285075,+1-1613206756,www.omegatechnologies.com,OME,Private,435.0
Smart International_047,ACC047,Regional,Prospect,Energy,4441804.0,Cold,+1-4895278516,+1-3727312990,www.smartinternational.com,SMA,Government,972.0
Omega Inc_080,ACC080,Regional,Competitor,Media,8581540.0,Cold,+1-6701634961,+1-8412252584,www.omegainc.com,OME,Other,776.0
Tech Technologies_105,ACC105,Regional,Prospect,Retail,1411579.0,Hot,+1-8669747112,+1-7066105315,www.techtechnologies.com,TEC,Public,589.0
Global Inc,ACC021,HQ,Customer,Finance,4316172.0,Warm,+1-748-572-9966,+1-825-401-1103,www.globalinc.com,GLO,Subsidiary,241.0
Alpha Ltd,ACC031,Branch,Customer,Healthcare,2914932.0,Cold,+1-657-322-1015,+1-328-541-4957,www.alphaltd.com,ALP,Subsidiary,150.0
Delta Dynamics_072,ACC072,Branch,Partner,Technology,7430631.0,Cold,+1-4183932497,+1-6939605659,www.deltadynamics.com,DEL,Other,629.0
Future Industries_035,ACC035,HQ,Customer,Finance,6829795.0,Warm,+1-9685663959,+1-8937016523,www.futureindustries.com,FUT,Subsidiary,542.0
Smart Systems,ACC037,HQ,Partner,Finance,501542.0,Warm,+1-147-226-6567,+1-551-224-8529,www.smartsystems.com,SMA,Public,301.0
Prime Ltd_074,ACC074,Satellite,Partner,Education,5156002.0,Cold,+1-1987128752,+1-9804114720,www.primeltd.com,PRI,Public,894.0
Elite Corp_118,ACC118,HQ,Partner,Retail,8729522.0,Cold,+1-4036383495,+1-9916422794,www.elitecorp.com,ELI,Public,54.0
Alpha Solutions_153,ACC153,Satellite,Partner,Retail,5889198.0,Cold,+1-4323175041,+1-2705639508,www.alphasolutions.com,ALP,Public,904.0
Smart International_030,ACC030,Regional,Customer,Healthcare,6908706.0,Cold,+1-3173544807,+1-2124757711,www.smartinternational.com,SMA,Public,726.0
Elite International_188,ACC188,Satellite,Competitor,Technology,1256259.0,Hot,+1-9698387162,+1-5246533318,www.eliteinternational.com,ELI,Public,85.0
Beta Corp,ACC035,HQ,Prospect,Retail,838688.0,Warm,+1-124-187-3287,+1-146-576-2486,www.betacorp.com,BET,Public,200.0
Smart Ltd_097,ACC097,HQ,Partner,Education,7821264.0,Warm,+1-7955853175,+1-9427386992,www.smartltd.com,SMA,Private,71.0
Alpha Solutions_015,ACC015,Branch,Customer,Transportation,1754537.0,Cold,+1-5733387062,+1-6683637637,www.alphasolutions.com,ALP,Other,632.0
Tech Solutions_006,ACC006,Satellite,Customer,Transportation,6360675.0,Hot,+1-5647794427,+1-2631291238,www.techsolutions.com,TEC,Government,448.0
Elite Systems_005,ACC005,Regional,Prospect,Finance,8736043.0,Hot,+1-3808062237,+1-3753483771,www.elitesystems.com,ELI,Other,364.0
Delta Group_052,ACC052,Regional,Competitor,Retail,9170526.0,Hot,+1-2882699457,+1-5068534140,www.deltagroup.com,DEL,Subsidiary,673.0
Alpha Systems,ACC013,Branch,Customer,Manufacturing,4603772.0,Hot,+1-557-705-1894,+1-774-391-7360,www.alphasystems.com,ALP,Subsidiary,247.0
Delta Corp_085,ACC085,Branch,Other,Construction,9933464.0,Cold,+1-6843956976,+1-8569427343,www.deltacorp.com,DEL,Government,156.0
Smart Technologies,ACC031,HQ,Partner,Finance,2743518.0,Cold,+1-683-173-3129,+1-736-905-1976,www.smarttechnologies.com,SMA,Private,167.0
Alpha International,ACC019,HQ,Partner,Healthcare,3898726.0,Cold,+1-482-563-2707,+1-947-635-1671,www.alphainternational.com,ALP,Public,208.0
Smart Industries_039,ACC039,HQ,Prospect,Transportation,1851806.0,Cold,+1-9361312737,+1-8499847325,www.smartindustries.com,SMA,Subsidiary,75.0
Prime Inc_042,ACC042,Branch,Competitor,Manufacturing,8105961.0,Warm,+1-7997806820,+1-8221528959,www.primeinc.com,PRI,Subsidiary,849.0
Elite Technologies_126,ACC126,HQ,Other,Transportation,7829618.0,Warm,+1-6661919692,+1-9516502596,www.elitetechnologies.com,ELI,Public,953.0
Tech International_147,ACC147,Regional,Prospect,Energy,632714.0,Cold,+1-7614506292,+1-6616142189,www.techinternational.com,TEC,Government,677.0
Alpha Systems_199,ACC199,Branch,Competitor,Education,1244417.0,Cold,+1-4841283304,+1-7319599202,www.alphasystems.com,ALP,Private,331.0
Omega International_066,ACC066,Main,Prospect,Energy,9273808.0,Cold,+1-2976944985,+1-9737327306,www.omegainternational.com,OME,Public,87.0
Delta Systems_023,ACC023,Regional,Other,Healthcare,4013931.0,Hot,+1-4143616140,+1-5942604217,www.deltasystems.com,DEL,Public,385.0
Elite Dynamics_018,ACC018,HQ,Partner,Media,3763845.0,Cold,+1-2855523158,+1-5045819260,www.elitedynamics.com,ELI,Public,899.0
Global Group_146,ACC146,Regional,Customer,Manufacturing,9291139.0,Hot,+1-4569277505,+1-4175341616,www.globalgroup.com,GLO,Public,297.0
Delta Systems_129,ACC129,Main,Partner,Technology,5624444.0,Hot,+1-2381353014,+1-4807989612,www.deltasystems.com,DEL,Government,98.0
Elite Corp_160,ACC160,Satellite,Prospect,Transportation,8837577.0,Hot,+1-3352621616,+1-1973551057,www.elitecorp.com,ELI,Subsidiary,74.0
Beta Corp_017,ACC017,HQ,Prospect,Retail,1796269.0,Warm,+1-9139204184,+1-5826244413,www.betacorp.com,BET,Subsidiary,623.0
Smart Solutions_124,ACC124,Main,Prospect,Healthcare,8215849.0,Hot,+1-2306298130,+1-5566357006,www.smartsolutions.com,SMA,Subsidiary,897.0
Alpha Systems_145,ACC145,Main,Customer,Manufacturing,2583773.0,Hot,+1-4329656773,+1-7425855207,www.alphasystems.com,ALP,Subsidiary,517.0
Prime International,ACC049,Branch,Prospect,Manufacturing,4145514.0,Cold,+1-564-549-5116,+1-216-599-6227,www.primeinternational.com,PRI,Subsidiary,496.0
Smart Corp_008,ACC008,Main,Competitor,Construction,6375875.0,Hot,+1-1341592757,+1-7534016491,www.smartcorp.com,SMA,Subsidiary,921.0
Beta Inc_028,ACC028,Main,Prospect,Retail,4640649.0,Cold,+1-5609991848,+1-2903467747,www.betainc.com,BET,Government,618.0
TestAccount8,10000008,Site_I,Customer,Technology,4500000.0,Warm,+1-800-555-1008,+1-800-555-2008,https://testaccount8.com,SYM8,Private,90.0
Future Inc_150,ACC150,Main,Competitor,Media,4769638.0,Cold,+1-4893584765,+1-8795093877,www.futureinc.com,FUT,Public,288.0
Acme Corp,ACC001,Main,Customer,Technology,1000000.0,Hot,+1-1234567890,+1-1234567891,www.acme.com,ACM,Public,100.0
Future Systems_034,ACC034,Satellite,Other,Technology,2561560.0,Warm,+1-8308298222,+1-5212583190,www.futuresystems.com,FUT,Public,940.0
Beta Inc_136,ACC136,Regional,Other,Media,4208510.0,Cold,+1-7299443472,+1-3065008155,www.betainc.com,BET,Public,824.0
Beta Solutions_184,ACC184,Satellite,Partner,Finance,1858411.0,Warm,+1-1979506248,+1-5291769231,www.betasolutions.com,BET,Public,523.0
Omega Inc_016,ACC016,Satellite,Other,Education,4764060.0,Hot,+1-7902343863,+1-7327879802,www.omegainc.com,OME,Public,792.0
Tech Technologies,ACC039,HQ,Customer,Healthcare,4609837.0,Cold,+1-286-841-6756,+1-374-181-5863,www.techtechnologies.com,TEC,Public,164.0
Alpha Systems_017,ACC017,Satellite,Other,Media,9671581.0,Warm,+1-6908154096,+1-2852258523,www.alphasystems.com,ALP,Subsidiary,985.0
Omega Dynamics_038,ACC038,Branch,Prospect,Transportation,8732306.0,Hot,+1-9421232244,+1-6041694266,www.omegadynamics.com,OME,Subsidiary,606.0
Prime Technologies,ACC012,Branch,Customer,Manufacturing,3147773.0,Cold,+1-758-677-6543,+1-625-157-8355,www.primetechnologies.com,PRI,Subsidiary,319.0
Prime Systems_097,ACC097,Regional,Other,Retail,9947247.0,Cold,+1-8156634643,+1-3099564064,www.primesystems.com,PRI,Subsidiary,685.0
Tech Systems,ACC033,Branch,Partner,Healthcare,2927468.0,Warm,+1-117-646-1906,+1-990-215-9265,www.techsystems.com,TEC,Private,300.0
Smart Systems,ACC032,HQ,Partner,Finance,4185061.0,Hot,+1-132-795-1392,+1-976-934-4342,www.smartsystems.com,SMA,Subsidiary,138.0
Tech Systems_051,ACC051,Branch,Customer,Healthcare,8799959.0,Warm,+1-5445631466,+1-8554049775,www.techsystems.com,TEC,Government,298.0
Future Technologies_139,ACC139,HQ,Partner,Construction,756612.0,Cold,+1-7009621209,+1-6235221437,www.futuretechnologies.com,FUT,Subsidiary,268.0
Omega Ltd_187,ACC187,Regional,Competitor,Manufacturing,5398712.0,Cold,+1-6305208718,+1-3901795963,www.omegaltd.com,OME,Government,734.0
Elite Inc_188,ACC188,Branch,Other,Education,7006350.0,Warm,+1-6202431001,+1-8521205401,www.eliteinc.com,ELI,Public,566.0
Beta Technologies,ACC035,Main,Prospect,Finance,2193921.0,Hot,+1-568-244-3579,+1-641-759-7533,www.betatechnologies.com,BET,Subsidiary,63.0
Beta Ltd_001,ACC001,Satellite,Other,Healthcare,6518118.0,Hot,+1-3062169950,+1-3484025959,www.betaltd.com,BET,Subsidiary,275.0
Elite Ltd,ACC022,HQ,Customer,Finance,2420612.0,Warm,+1-618-355-1585,+1-666-249-5761,www.eliteltd.com,ELI,Public,453.0
Beta Dynamics,ACC028,Branch,Prospect,Manufacturing,1302326.0,Hot,+1-255-994-6346,+1-793-614-6511,www.betadynamics.com,BET,Private,191.0
Future Inc_081,ACC081,Regional,Other,Technology,9778403.0,Cold,+1-9593761615,+1-6476118002,www.futureinc.com,FUT,Private,101.0
Smart Dynamics,ACC004,Main,Customer,Technology,3294493.0,Cold,+1-623-196-1550,+1-143-313-5913,www.smartdynamics.com,SMA,Subsidiary,124.0
Smart Group_186,ACC186,Regional,Other,Transportation,2578565.0,Hot,+1-4556426617,+1-4611106750,www.smartgroup.com,SMA,Subsidiary,889.0
Delta Group_187,ACC187,HQ,Other,Finance,9541030.0,Cold,+1-9819644269,+1-3509479265,www.deltagroup.com,DEL,Government,220.0
Alpha Industries_194,ACC194,Main,Prospect,Construction,7346424.0,Warm,+1-9333541775,+1-3643672992,www.alphaindustries.com,ALP,Public,936.0
Smart Systems,ACC037,HQ,Partner,Finance,501542.0,Warm,+1-147-226-6567,+1-551-224-8529,www.smartsystems.com,SMA,Public,301.0
Elite Industries,ACC002,Branch,Partner,Finance,2886128.0,Hot,+1-284-838-2031,+1-740-838-5441,www.eliteindustries.com,ELI,Private,216.0
Elite Corp,ACC037,HQ,Customer,Finance,3282424.0,Cold,+1-592-428-7194,+1-861-950-6931,www.elitecorp.com,ELI,Public,476.0
